depth	term	coef	std_err	z	p_value	ci_low	ci_high	OR	OR_low	OR_high	p_adj	sig
150	C(Region)[T.3UTR]	-0.42646668335746335	0.08591501921475594	-4.963819914786418	6.912003786702644e-07	-0.5948570267494517	-0.25807633996547497	0.652811614704458	0.5516414301983631	0.7725362544647871	1.3824007573405288e-06	***
150	C(Region)[T.5UTR]	0.08919495222029718	0.03956265964265676	2.254523660085949	0.024163243929064892	0.011653564188073645	0.1667363402525207	1.0932937756006078	1.011721731507274	1.181442725349266	0.03221765857208652	*
150	Intercept	4.207944034027485	0.07041240402687539	59.76140272701631	0.0	4.069938258069926	4.345949809985044	67.21819931664463	58.55334728361187	77.16529505114663		
150	Is_fast_evolving[T.True]	-0.03999272582927726	0.04869653817745584	-0.8212642484675013	0.4114957672516173	-0.13543618682887046	0.05545073517031595	0.9607964281241517	0.873334891419234	1.057016942030077	0.4489044733654006	
150	Is_heart_specific[T.True]	-0.35012780266031013	0.15135119170756567	-2.313346850527693	0.020703576757843685	-0.6467706874243562	-0.05348491789626414	0.7045980344609318	0.5237343507521491	0.9479202375273478	0.031055365136765527	*
150	z_Compactness	0.0014458877489807822	0.02127236054745291	0.06797025397136326	0.9458093133975078	-0.04024717279017767	0.04313894828813923	1.0014469335486478	0.9605519874928782	1.0440829583119522	0.9458093133975078	
150	z_GC_content	-0.20566687561275926	0.016292811483761122	-12.623166714826677	1.573636387458385e-36	-0.23760019932783166	-0.17373355189768686	0.8141042290890724	0.7885178780612571	0.8405208230031089	9.441818324750311e-36	***
150	z_PSI_fixed	0.16110557311848184	0.013476964464475556	11.954143942662025	6.176678055874986e-33	0.1346912081471836	0.18751993808978007	1.1748089905158268	1.1441834152786114	1.2062542995877454	2.4706712223499943e-32	***
150	z_log_TPM	2.7718302176155007	0.11899775057824402	23.29313120749247	5.204095431683011e-120	2.538598912240862	3.0050615229901396	15.987868527482147	12.661918078630865	20.187458050565233	6.244914518019613e-119	***
150	z_log_gene_length	0.06831781343620137	0.022845156401953216	2.9904725638192757	0.002785461508516823	0.023542129667188424	0.11309349720521432	1.0707055390175073	1.0238214330942839	1.1197366202990964	0.004775076871743125	**
200	C(Gene_type)[T.Other]	-0.14009058136631275	0.5519369807573261	-0.2538162620922611	0.7996375094368466	-1.2218671853864487	0.9416860226538233	0.8692794913084556	0.29467943179299516	2.564301245633968	0.7996375094368466	
200	C(Gene_type)[T.Pseudogene]	-0.3752269287423385	0.06665677847505225	-5.62923887602482	1.8100657308407936e-08	-0.5058718138789056	-0.24458204360577138	0.687133330794524	0.6029796601738053	0.7830317429823116	5.430197192522381e-08	***
200	C(Gene_type)[T.lncRNA]	-0.040440121388495544	0.04137401569773301	-0.9774279993496344	0.3283573069758622	-0.12153170205184707	0.04065145927485599	0.9603666682124027	0.8855629787403925	1.041489040932197	0.4925359604637933	
200	C(Region)[T.3UTR]	-0.06317650470907633	0.09822083094002182	-0.6432088193965171	0.5200886113853115	-0.2556857958831165	0.12933278646496388	0.9387777603694915	0.7743852456031814	1.138068795045154	0.6782417184144506	
200	C(Region)[T.5UTR]	0.08821929952869023	0.04489188585513489	1.9651502236589464	0.04939685313556214	0.0002328200545427539	0.1762057790028377	1.0922276207687143	1.0002328471592352	1.1926834626139498	0.09879370627112428	
200	Intercept	6.523339881099662	0.21933450474882032	29.741512346952092	2.2328241584620995e-194	6.093452151225044	6.953227610974279	680.8485453853262	442.94789792685174	1046.522049033103		
200	Is_fast_evolving[T.True]	0.056529328368218196	0.05580255284129033	1.0130240551717216	0.3110486711027197	-0.05284166544610411	0.1659003221825405	1.0581576483822863	0.9485301856969891	1.1804554306378408	0.4925359604637933	
200	Is_heart_specific[T.True]	-0.3260101959900312	0.16461806483438898	-1.9804035256884345	0.047658204111360805	-0.6486556742701133	-0.0033647177099492276	0.7217978279507389	0.5227480482659586	0.9966409366091776	0.09879370627112428	
200	z_Compactness	0.013595444246321937	0.023638788020504873	0.575132880523693	0.5652014320120422	-0.03273572891204449	0.05992661740468837	1.0136882825473366	0.9677942858458533	1.0617586290827052	0.6782417184144506	
200	z_GC_content	-0.22177270436304863	0.019010582235602508	-11.665750244499018	1.9071446354607047e-31	-0.2590327608699665	-0.18451264785613078	0.8010974295930754	0.7717977378641929	0.8315094230213425	7.628578541842819e-31	***
200	z_PSI_fixed	0.20452331427242756	0.015560750584096228	13.143537849739678	1.853538097545099e-39	0.17402480355518835	0.23502182498966678	1.2269400607271348	1.1900850837953405	1.264936375654958	1.1121228585270593e-38	***
200	z_log_TPM	5.930961091499781	0.32574640404088134	18.207295669042725	4.517149898144004e-74	5.292509871486221	6.569412311513341	376.51620651262317	198.84186716801509	712.9507270562383	5.4205798777728046e-73	***
200	z_log_gene_length	0.012271417746762884	0.0258234921143284	0.47520365148267363	0.6346418247053147	-0.03834169675237488	0.06288453224590064	1.0123470205281206	0.9623840412010058	1.0649038700737468	0.6923365360421615	
250	C(Gene_type)[T.Other]	-0.9005843341061577	0.557354430508673	-1.6158198173543428	0.10613327560287607	-1.992978944526989	0.19181027631467362	0.4063321566192287	0.13628882327936326	1.2114406561747282	0.11578175520313752	
